年,月,日,時,波高,週期,波向,風速,風向
2024 ,1 ,1 ,0 ,3.09,6.1,0,14.9,18
2024 ,1 ,1 ,1 ,3.31,6,22,15,21
2024 ,1 ,1 ,2 ,3.38,6.1,11,14.8,16
2024 ,1 ,1 ,3 ,3.29,6.3,11,14.7,17
2024 ,1 ,1 ,4 ,3.86,6.7,11,15.6,16
2024 ,1 ,1 ,5 ,3.33,6.2,11,14.9,19
2024 ,1 ,1 ,6 ,3.11,6,11,15.9,19
2024 ,1 ,1 ,7 ,3.48,6.2,11,15.3,19
2024 ,1 ,1 ,8 ,3.29,6.4,11,15.2,19
2024 ,1 ,1 ,9 ,3.24,6.3,0,14.9,17
2024 ,1 ,1 ,10 ,3.05,6.2,11,14.4,17
2024 ,1 ,1 ,11 ,3.24,6.2,0,14,12
2024 ,1 ,1 ,12 ,3.04,6.1,11,14.3,9
2024 ,1 ,1 ,13 ,3.34,6.2,0,14.6,6
2024 ,1 ,1 ,14 ,3.11,5.9,0,15,6
2024 ,1 ,1 ,15 ,3.53,6.2,0,15.2,8
2024 ,1 ,1 ,16 ,3.1,5.8,11,14.7,11
2024 ,1 ,1 ,17 ,2.93,5.8,11,14.1,11
2024 ,1 ,1 ,18 ,2.55,5.3,11,13.9,16
2024 ,1 ,1 ,19 ,2.84,5.7,11,13.6,20
2024 ,1 ,1 ,20 ,2.92,5.7,0,13.1,18
2024 ,1 ,1 ,21 ,2.67,5.7,0,13.5,20
2024 ,1 ,1 ,22 ,2.53,5.6,11,13,21
2024 ,1 ,1 ,23 ,2.07,5.4,0,11.1,23
2024 ,1 ,2 ,0 ,2.34,5.5,11,10.3,22
2024 ,1 ,2 ,1 ,2.02,5.2,11,10.6,16
2024 ,1 ,2 ,2 ,2.14,5.5,0,9.2,30
2024 ,1 ,2 ,3 ,1.92,5.6,11,9.3,26
2024 ,1 ,2 ,4 ,1.96,5.7,11,10,24
2024 ,1 ,2 ,5 ,1.88,5.4,11,9.1,31
2024 ,1 ,2 ,6 ,1.79,5.4,22,9.2,31
2024 ,1 ,2 ,7 ,1.57,4.9,11,9,34
2024 ,1 ,2 ,8 ,1.47,5.1,11,8.4,25
2024 ,1 ,2 ,9 ,1.72,5.2,348,7.8,23
2024 ,1 ,2 ,10 ,1.79,5.6,0,7.4,23
2024 ,1 ,2 ,11 ,1.82,5.6,0,7.3,9
2024 ,1 ,2 ,12 ,1.83,5.4,0,6.5,1
2024 ,1 ,2 ,13 ,2.3,5.7,11,9,347
2024 ,1 ,2 ,14 ,2.09,5.3,11,8.8,353
2024 ,1 ,2 ,15 ,2.04,5.5,11,9.3,350
2024 ,1 ,2 ,16 ,2.11,5.2,11,9.6,350
2024 ,1 ,2 ,17 ,1.78,5.2,0,8.5,356
2024 ,1 ,2 ,18 ,1.6,5,11,8.6,356
2024 ,1 ,2 ,19 ,1.49,5.1,0,7.8,2
2024 ,1 ,2 ,20 ,1.59,5.1,11,7.7,360
2024 ,1 ,2 ,21 ,1.26,4.7,0,6.6,8
2024 ,1 ,2 ,22 ,1.3,5,0,6,355
